#Acq. time (s)=	30
#Accumulations=	1
#Range (cm-¹)=	1050...3000 (30 s) 
#Windows=	6
#Auto scanning=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	High Sensitivity
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-60.1
#Instrument=	LabRAM
#Detector=	Syncerity
#Objective=	x50LWD
#Grating=	1800
#Filter=	25%
#Laser (nm)=	532
#Hole=	100
#E-Cal_Neon=	0
#StageXY=	Marzhauser
#StageZ=	Marzhauser
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	-1678.85
#Spectral res.(cm-¹)=	1.9
#Full time(mm:ss)=	3:09
#AC=	Not calibrated
#Project=	
#Sample=	
#Site=	
#Title=	Spot 1 RT reverse
#Remark=	
#Date=	19.02.2026 13:45
#Acquired=	19.02.2026 13:45:56
#Edit:Spike=	19.02.2026 13:48:51
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
1050.13	145
1050.59	125
1051.05	145
1051.51	97
1051.97	151
1052.44	91
1052.9	151
1053.36	141
1053.82	101
1054.28	185
1054.74	115
1055.2	171
1055.67	119
1056.13	161
1056.59	119
1057.05	155
1057.51	85
1057.97	151
1058.43	131
1058.89	133
1059.36	173
1059.82	117
1060.28	181
1060.74	91
1061.2	173
1061.66	107
1062.12	171
1062.58	117
1063.04	153
1063.5	141
1063.96	119
1064.43	155
1064.89	89
1065.35	167
1065.81	111
1066.27	149
1066.73	119
1067.19	149
1067.65	99
1068.11	159
1068.57	133
1069.03	139
1069.49	155
1069.95	113
1070.41	145
1070.87	111
1071.33	147
1071.79	147
1072.25	161
1072.71	91
1073.17	149
1073.63	119
1074.09	127
1074.55	133
1075.01	97
1075.47	141
1075.93	139
1076.39	149
1076.85	141
1077.31	153
1077.77	77
1078.23	181
1078.69	139
1079.15	131
1079.61	159
1080.07	101
1080.53	141
1080.99	121
1081.45	139
1081.91	129
1082.37	115
1082.83	111
1083.29	171
1083.75	137
1084.21	129
1084.66	151
1085.12	101
1085.58	147
1086.04	139
1086.5	115
1086.96	167
1087.42	121
1087.88	129
1088.34	147
1088.8	147
1089.25	129
1089.71	135
1090.17	123
1090.63	143
1091.09	145
1091.55	125
1092.01	171
1092.47	105
1092.92	149
1093.38	141
1093.84	149
1094.3	109
1094.76	167
1095.22	125
1095.68	155
1096.13	137
1096.59	103
1097.05	161
1097.51	79
1097.97	171
1098.43	115
1098.88	151
1099.34	95
1099.8	141
1100.26	115
1100.72	133
1101.17	145
1101.63	101
1102.09	169
1102.55	95
1103.01	177
1103.46	99
1103.92	151
1104.38	117
1104.84	167
1105.29	93
1105.75	145
1106.21	139
1106.67	97
1107.12	195
1107.58	109
1108.04	163
1108.5	113
1108.95	149
1109.41	123
1109.87	145
1110.33	87
1110.78	139
1111.24	141
1111.7	123
1112.16	181
1112.61	97
1113.07	167
1113.53	111
1113.98	161
1114.44	113
1114.9	153
1115.35	87
1115.81	187
1116.27	121
1116.72	115
1117.18	173
1117.64	109
1118.1	165
1118.55	97
1119.01	157
1119.47	115
1119.92	153
1120.38	93
1120.84	171
1121.29	135
1121.75	125
1122.2	153
1122.66	91
