#Acq. time (s)=	30
#Accumulations=	1
#Range (cm-¹)=	1050...3000 (30 s) 
#Windows=	6
#Auto scanning=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	High Sensitivity
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-60.1
#Instrument=	LabRAM
#Detector=	Syncerity
#Objective=	x50LWD
#Grating=	1800
#Filter=	25%
#Laser (nm)=	532
#Hole=	100
#E-Cal_Neon=	0
#StageXY=	Marzhauser
#StageZ=	Marzhauser
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	-1678.85
#Spectral res.(cm-¹)=	1.9
#Full time(mm:ss)=	3:09
#AC=	Not calibrated
#Project=	
#Sample=	
#Site=	
#Title=	Spot 2 350K REVERSE
#Remark=	
#Date=	19.02.2026 16:07
#Acquired=	19.02.2026 16:07:01
#Edit:Spike=	19.02.2026 16:08:03
#Edit:Spike=	19.02.2026 16:08:38
#Edit:Spike=	19.02.2026 16:09:46
#Edit:Spike=	19.02.2026 16:09:50
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
1050.13	129
1050.59	129
1051.05	141
1051.51	101
1051.97	145
1052.44	111
1052.9	155
1053.36	91
1053.82	157
1054.28	81
1054.74	159
1055.2	133
1055.67	131
1056.13	139
1056.59	107
1057.05	135
1057.51	101
1057.97	147
1058.43	97
1058.89	181
1059.36	63
1059.82	159
1060.28	111
1060.74	133
1061.2	153
1061.66	103
1062.12	147
1062.58	127
1063.04	141
1063.5	117
1063.96	149
1064.43	71
1064.89	155
1065.35	137
1065.81	141
1066.27	141
1066.73	105
1067.19	125
1067.65	103
1068.11	141
1068.57	109
1069.03	141
1069.49	85
1069.95	155
1070.41	133
1070.87	105
1071.33	135
1071.79	111
1072.25	133
1072.71	141
1073.17	135
1073.63	121
1074.09	131
1074.55	91
1075.01	163
1075.47	125
1075.93	143
1076.39	125
1076.85	115
1077.31	131
1077.77	139
1078.23	137
1078.69	131
1079.15	111
1079.61	99
1080.07	137
1080.53	133
1080.99	129
1081.45	121
1081.91	113
1082.37	139
1082.83	143
1083.29	115
1083.75	153
1084.21	105
1084.66	111
1085.12	137
1085.58	137
1086.04	127
1086.5	115
1086.96	107
1087.42	125
1087.88	149
1088.34	111
1088.8	165
1089.25	85
1089.71	141
1090.17	127
1090.63	123
1091.09	131
1091.55	121
1092.01	119
1092.47	115
1092.92	155
1093.38	81
1093.84	161
1094.3	85
1094.76	143
1095.22	145
1095.68	123
1096.13	113
1096.59	127
1097.05	91
1097.51	141
1097.97	143
1098.43	87
1098.88	157
1099.34	79
1099.8	143
1100.26	119
1100.72	135
1101.17	99
1101.63	125
1102.09	109
1102.55	155
1103.01	129
1103.46	81
1103.92	171
1104.38	67
1104.84	163
1105.29	87
1105.75	147
1106.21	115
1106.67	117
1107.12	103
1107.58	129
1108.04	123
1108.5	85
1108.95	173
1109.41	75
1109.87	169
1110.33	109
1110.78	155
1111.24	141
1111.7	119
1112.16	95
1112.61	139
1113.07	119
1113.53	113
1113.98	135
1114.44	89
1114.9	157
1115.35	103
1115.81	157
1116.27	137
1116.72	131
1117.18	101
1117.64	135
1118.1	119
1118.55	123
1119.01	145
1119.47	91
1119.92	149
1120.38	123
1120.84	137
1121.29	139
1121.75	113
1122.2	129
1122.66	135
1123.12	137
1123.57	149
1124.03	173
1124.49	115
1124.94	145
1125.4	129
1125.86	139
1126.31	179
1126.77	125
1127.22	131
1127.68	143
1128.14	115
1128.59	135
1129.05	123
1129.5	115
1129.96	123
1130.41	137
1130.87	117
1131.33	141
1131.78	89
1132.24	103
1132.69	129
1133.15	121
1133.61	135
1134.06	97
1134.52	107
1134.97	127
1135.43	151
1135.88	113
1136.34	167
1136.79	107
1137.25	109
1137.7	133
1138.16	141
1138.61	157
1139.07	85
1139.52	125
1139.98	125
1140.43	165
1140.89	103
1141.34	161
1141.8	97
1142.25	131
1142.71	129
1143.16	141
1143.62	145
1144.07	79
1144.53	153
1144.98	123
1145.44	165
1145.89	81
1146.35	169
1146.8	99
1147.26	151
1147.71	149
1148.16	113
1148.62	157
1149.07	59
1149.53	179
1149.98	119
1150.44	163
1150.89	99
1151.35	157
1151.8	99
1152.25	143
1152.71	139
1153.16	125
1153.62	167
1154.07	93
1154.52	135
1154.98	139
1155.43	153
1155.89	93
1156.34	141
1156.79	99
1157.25	151
1157.7	123
1158.16	109
1158.61	141
1159.06	83
1159.52	141
1159.97	117
1160.42	147
1160.88	87
1161.33	143
1161.78	109
1162.24	141
1162.69	115
1163.14	117
1163.6	181
1164.05	99
1164.5	155
1164.96	105
1165.41	139
1165.86	97
1166.32	133
1166.77	107
1167.22	143
1167.68	131
1168.13	115
1168.58	161
1169.04	83
1169.49	153
1169.94	123
1170.39	129
1170.85	117
1171.3	99
1171.75	113
1172.2	163
1172.66	105
1173.11	119
1173.56	133
1174.01	101
1174.47	153
1174.92	151
1175.37	117
1175.82	127
1176.28	105
1176.73	139
1177.18	151
1177.63	95
1178.09	119
1178.54	147
1178.99	119
1179.44	125
1179.89	145
1180.35	119
1180.8	151
1181.25	105
1181.7	127
1182.15	131
1182.61	103
1183.06	133
1183.51	121
1183.96	131
1184.41	111
1184.87	127
1185.32	119
1185.77	175
1186.22	85
1186.67	149
1187.12	131
1187.58	133
1188.03	135
1188.48	131
1188.93	127
1189.38	121
1189.83	161
1190.28	105
1190.73	175
1191.19	79
1191.64	141
1192.09	119
1192.54	115
1192.99	147
1193.44	113
1193.89	125
1194.34	97
1194.8	163
1195.25	99
1195.7	197
1196.15	73
1196.6	145
1197.05	123
1197.5	121
1197.95	149
1198.4	113
1198.85	137
1199.3	105
1199.75	155
1200.2	101
1200.66	171
1201.11	83
1201.56	159
1202.01	115
1202.46	131
1202.91	127
1203.36	103
1203.81	125
1204.26	103
1204.71	129
1205.16	113
1205.61	163
1206.06	81
1206.51	157
1206.96	121
1207.41	143
1207.86	157
1208.31	113
1208.76	121
1209.21	127
1209.66	147
1210.11	109
1210.56	135
1211.01	81
1211.46	133
1211.91	115
1212.36	139
1212.81	149
1213.26	109
1213.71	135
1214.16	127
1214.61	143
1215.05	115
1215.51	141
1215.95	95
1216.4	157
1216.85	163
1217.3	113
1217.75	129
1218.2	121
1218.65	131
1219.1	131
1219.55	117
1220	125
1220.45	135
1220.9	83
1221.34	149
1221.79	135
1222.24	129
1222.69	135
1223.14	103
1223.59	137
1224.04	135
1224.49	117
1224.94	173
1225.38	115
1225.83	99
1226.28	137
1226.73	125
1227.18	133
1227.63	139
1228.07	105
1228.52	139
1228.97	157
1229.42	117
1229.87	147
1230.32	93
1230.76	113
1231.21	129
1231.66	141
1232.11	103
1232.56	135
1233.01	117
1233.45	111
1233.9	145
1234.35	109
1234.8	167
1235.25	87
1235.69	165
1236.14	145
1236.59	139
1237.04	117
1237.49	123
1237.93	117
1238.38	141
1238.83	157
1239.28	77
1239.72	169
1240.17	91
1240.62	155
1241.07	127
1241.51	147
1241.96	123
1242.41	137
1242.86	125
1243.3	135
1243.75	141
1244.2	89
1244.65	179
1245.09	111
1245.54	169
1245.99	121
1246.44	149
1246.88	119
1247.33	135
1247.78	99
1248.22	125
1248.67	147
1249.12	79
1249.56	193
1250.01	89
1250.46	181
1250.9	103
1251.35	143
1251.8	121
1252.24	133
1252.69	121
1253.14	131
1253.58	161
1254.03	91
1254.48	177
1254.92	85
1255.37	147
1255.82	105
1256.26	139
1256.71	135
1257.15	111
1257.6	123
1258.05	147
1258.49	145
1258.94	89
1259.39	181
1259.83	93
1260.28	175
1260.72	99
1261.17	171
1261.62	131
1262.06	145
1262.51	103
1262.95	147
1263.4	137
1263.85	101
1264.29	169
1264.74	87
1265.18	163
1265.63	99
1266.07	135
1266.52	137
1266.97	117
1267.41	117
1267.86	125
1268.3	145
1268.75	101
1269.19	161
1269.64	93
1270.08	149
1270.53	105
1270.97	127
1271.42	137
1271.86	109
1272.31	141
1272.76	137
1273.2	131
1273.64	107
1274.09	155
1274.53	93
1274.98	145
1275.42	105
1275.87	141
1276.31	147
1276.76	107
1277.2	131
1277.65	147
1278.09	123
1278.54	143
1278.98	131
1279.43	137
1279.87	129
1280.32	115
1280.76	131
1281.21	151
1281.65	109
1282.09	123
1282.54	141
1282.98	127
1283.43	153
1283.87	107
1284.32	109
1284.76	133
1285.21	135
1285.65	117
1286.09	143
1286.54	103
1286.98	125
1287.42	157
1287.87	109
1288.31	139
1288.76	81
1289.2	137
1289.64	135
1290.09	143
1290.53	113
1290.98	181
1291.42	99
1291.86	141
1292.31	167
1292.75	133
1293.19	163
1293.64	91
1294.08	141
1294.53	113
1294.97	171
1295.41	123
1295.85	169
1296.3	107
1296.74	129
1297.19	137
1297.63	105
1298.07	163
1298.51	77
1298.96	151
1299.4	133
1299.84	151
1300.29	125
1300.73	153
1301.17	91
1301.62	163
1302.06	139
1302.5	105
1302.94	165
1303.39	79
1303.83	157
1304.27	121
1304.72	153
1305.16	81
1305.6	169
1306.04	85
1306.49	155
1306.93	127
1307.37	113
1307.81	157
1308.26	63
1308.7	161
1309.14	109
1309.58	159
1310.03	109
1310.47	149
1310.91	109
1311.35	159
1311.8	153
1312.24	133
1312.68	167
1313.12	67
1313.56	149
1314	123
1314.45	157
1314.89	123
1315.33	147
1315.77	121
1316.22	165
1316.66	117
1317.1	125
1317.54	143
1317.98	101
1318.43	159
1318.87	141
1319.31	141
1319.75	123
1320.19	139
1320.63	115
1321.07	155
1321.51	111
1321.96	125
1322.4	151
1322.84	103
1323.28	155
1323.72	131
1324.16	145
1324.6	135
1325.05	161
1325.49	127
1325.93	153
1326.37	135
1326.81	147
1327.25	179
1327.69	117
1328.13	131
1328.57	147
1329.02	121
1329.45	133
1329.9	111
1330.34	153
1330.78	147
1331.22	117
1331.66	133
1332.1	137
1332.54	133
1332.98	151
1333.42	177
1333.86	133
1334.3	189
1334.74	125
1335.18	137
1335.62	151
1336.07	121
1336.5	151
1336.95	145
1337.39	131
1337.83	129
1338.27	181
1338.71	123
1339.15	185
1339.59	115
1340.03	161
1340.47	169
1340.91	135
1341.35	157
1341.79	135
1342.23	141
1342.67	137
1343.11	159
1343.55	127
1343.99	175
1344.43	99
1344.86	169
1345.31	145
1345.74	137
1346.18	153
1346.62	125
1347.06	153
1347.5	105
1347.94	161
1348.38	103
1348.82	191
1349.26	95
1349.7	159
1350.14	125
1350.58	117
1351.02	157
1351.46	119
1351.9	157
1352.33	103
1352.77	161
1353.21	125
1353.65	189
1354.09	97
1354.53	153
1354.97	125
1355.41	113
1355.85	167
1356.29	119
1356.72	149
1357.16	105
1357.6	161
1358.04	103
1358.48	161
1358.92	83
1359.36	173
1359.79	123
1360.23	135
1360.67	153
1361.11	101
1361.55	137
1361.99	105
1362.43	153
1362.87	111
1363.3	147
1363.74	73
1364.18	173
1364.62	133
1365.06	137
1365.49	143
1365.93	109
1366.37	135
1366.81	95
1367.25	147
1367.68	139
1368.12	151
1368.56	71
1369	167
1369.44	129
1369.87	131
1370.31	167
1370.75	103
1371.19	151
1371.62	125
1372.06	153
1372.5	145
1372.94	133
1373.37	105
1373.81	145
1374.25	137
1374.69	113
1375.12	127
1375.56	119
1376	149
1376.44	157
1376.87	143
1377.31	145
1377.75	125
1378.19	129
1378.62	151
1379.06	135
1379.5	137
